,src,iso_code,region,trg,weighted,log-weight,norm-log-weight,days_since_100_cases_in_China_2019,weeks_since_100_cases
628,Austria,AUT,Europe,Iran (Islamic Republic of),2.0,0.6931471805599453,0.11090398820673722,51.0,7
629,Austria,AUT,Europe,Iraq,1.0,0.0,0.0,51.0,7
630,Austria,AUT,Europe,Ireland,1.0,0.0,0.0,51.0,7
631,Austria,AUT,Europe,Israel,3.0,1.0986122886681098,0.17577866248809984,51.0,7
632,Austria,AUT,Europe,Italy,28.0,3.332204510175204,0.5331548335814766,51.0,7
633,Austria,AUT,Europe,Japan,2.0,0.6931471805599453,0.11090398820673722,51.0,7
634,Austria,AUT,Europe,Jordan,3.0,1.0986122886681098,0.17577866248809984,51.0,7
635,Austria,AUT,Europe,Kazakhstan,2.0,0.6931471805599453,0.11090398820673722,51.0,7
636,Austria,AUT,Europe,Latvia,2.0,0.6931471805599453,0.11090398820673722,51.0,7
637,Austria,AUT,Europe,Lithuania,1.0,0.0,0.0,51.0,7
638,Austria,AUT,Europe,Luxembourg,2.0,0.6931471805599453,0.11090398820673722,51.0,7
639,Austria,AUT,Europe,North Macedonia,1.0,0.0,0.0,51.0,7
640,Austria,AUT,Europe,Malta,4.0,1.3862943611198906,0.22180797641347444,51.0,7
641,Austria,AUT,Europe,"Moldova, Republic of",1.0,0.0,0.0,51.0,7
642,Austria,AUT,Europe,Montenegro,2.0,0.6931471805599453,0.11090398820673722,51.0,7
643,Austria,AUT,Europe,Netherlands,5.0,1.6094379124341003,0.25751108605227985,51.0,7
644,Austria,AUT,Europe,Norway,2.0,0.6931471805599453,0.11090398820673722,51.0,7
645,Austria,AUT,Europe,Poland,4.0,1.3862943611198906,0.22180797641347444,51.0,7
646,Austria,AUT,Europe,Portugal,6.0,1.791759469228055,0.28668265069483706,51.0,7
647,Austria,AUT,Europe,Qatar,1.0,0.0,0.0,51.0,7
648,Austria,AUT,Europe,Romania,8.0,2.0794415416798357,0.33271196462021163,51.0,7
649,Austria,AUT,Europe,Russian Federation,13.0,2.5649493574615367,0.4103935228604617,51.0,7
650,Austria,AUT,Europe,Serbia,3.0,1.0986122886681098,0.17577866248809984,51.0,7
651,Austria,AUT,Europe,Slovakia,1.0,0.0,0.0,51.0,7
