	src	trg	iso_code_src	region	iso_code_trg	kmdist	proximity	log-prox	norm-log-prox
234	East Timor	Indonesia	TLS	Asia	IDN	2085	0.000479616307	0.1308468227	0.1145581621
236	Ecuador	Peru	ECU	Americas	PER	1349	0.0007412898443	0.1387517009	0.1490440825
237	Egypt	Israel	EGY	Africa	ISR	401	0.002493765586	0.1668345738	0.2715587738
238	Egypt	Libya	EGY	Africa	LBY	1712	0.0005841121495	0.1343108016	0.1296701597
239	Egypt	Sudan	EGY	Africa	SDN	1667	0.000599880024	0.1347930362	0.1317739625
240	Egypt	Sudan	EGY	Africa	SDN	1667	0.000599880024	0.1347930362	0.1317739625
241	El Salvador	Guatemala	SLV	Americas	GTM	171	0.005847953216	0.1944895828	0.3922068609
242	El Salvador	Honduras	SLV	Americas	HND	201	0.004975124378	0.1885616643	0.3663456499
244	Equatorial Guinea	Gabon	GNQ	Africa	GAB	225	0.004444444444	0.1846346865	0.3492137676
246	Eritrea	Ethiopia	ERI	Africa	ETH	704	0.001420454545	0.1525139246	0.2090833313
247	Eritrea	Ethiopia	ERI	Africa	ETH	704	0.001420454545	0.1525139246	0.2090833313
248	Eritrea	South Sudan	ERI	Africa	SSD	1415	0.0007067137809	0.1378381637	0.1450586737
249	Eritrea	Sudan	ERI	Africa	SDN	671	0.001490312966	0.1536388799	0.2139910753
250	Eritrea	Sudan	ERI	Africa	SDN	671	0.001490312966	0.1536388799	0.2139910753
251	Estonia	Latvia	EST	Europe	LVA	329	0.003039513678	0.1725310621	0.2964103449
252	Estonia	Russian Federation	EST	Europe	RUS	898	0.001113585746	0.1470551457	0.1852687942
254	Ethiopia	Djibouti	ETH	Africa	DJI	549	0.001821493625	0.1585263783	0.2353133367
256	Ethiopia	Eritrea	ETH	Africa	ERI	704	0.001420454545	0.1525139246	0.2090833313
257	Ethiopia	Kenya	ETH	Africa	KEN	1133	0.0008826125331	0.1421944303	0.1640633765
258	Ethiopia	Kenya	ETH	Africa	KEN	1133	0.0008826125331	0.1421944303	0.1640633765
259	Ethiopia	Somalia	ETH	Africa	SOM	1070	0.0009345794393	0.143360668	0.1691512197
