	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
262	Egypt	Germany	36	3.583518938	0.5165571137	EGY	DEU
263	Estonia	Germany	4	1.386294361	0.1998315695	EST	DEU
264	Ethiopia	Germany	4	1.386294361	0.1998315695	ETH	DEU
265	Finland	Germany	38	3.63758616	0.5243507959	FIN	DEU
266	France	Germany	168	5.123963979	0.7386091965	FRA	DEU
267	Georgia	Germany	2	0.6931471806	0.09991578476	GEO	DEU
269	Albania	Greece	4	1.386294361	0.1998315695	ALB	GRC
270	Armenia	Greece	2	0.6931471806	0.09991578476	ARM	GRC
271	Austria	Greece	72	4.276666119	0.6164728984	AUT	GRC
272	Belgium	Greece	38	3.63758616	0.5243507959	BEL	GRC
273	Bulgaria	Greece	8	2.079441542	0.2997473543	BGR	GRC
274	Canada	Greece	4	1.386294361	0.1998315695	CAN	GRC
275	Croatia	Greece	4	1.386294361	0.1998315695	HRV	GRC
276	Cyprus	Greece	23	3.135494216	0.4519752428	CYP	GRC
277	Czechia	Greece	9	2.197224577	0.3167255442	CZE	GRC
278	Denmark	Greece	14	2.63905733	0.3804148549	DNK	GRC
279	Egypt	Greece	8	2.079441542	0.2997473543	EGY	GRC
280	Estonia	Greece	2	0.6931471806	0.09991578476	EST	GRC
281	Finland	Greece	4	1.386294361	0.1998315695	FIN	GRC
282	France	Greece	62	4.127134385	0.594918197	FRA	GRC
283	Georgia	Greece	2	0.6931471806	0.09991578476	GEO	GRC
284	Germany	Greece	342	5.834810737	0.84107634	DEU	GRC
285	Albania	Italy	54	3.988984047	0.575004101	ALB	ITA
286	Algeria	Italy	8	2.079441542	0.2997473543	DZA	ITA
287	Argentina	Italy	4	1.386294361	0.1998315695	ARG	ITA
288	Armenia	Italy	2	0.6931471806	0.09991578476	ARM	ITA
289	Austria	Italy	56	4.025351691	0.5802464244	AUT	ITA
290	Azerbaijan	Italy	8	2.079441542	0.2997473543	AZE	ITA
291	Bangladesh	Italy	2	0.6931471806	0.09991578476	BGD	ITA
292	Belarus	Italy	4	1.386294361	0.1998315695	BLR	ITA
293	Belgium	Italy	89	4.48863637	0.6470279877	BEL	ITA
294	Bosnia and Herzegovina	Italy	2	0.6931471806	0.09991578476	BIH	ITA
295	Brazil	Italy	8	2.079441542	0.2997473543	BRA	ITA
296	Bulgaria	Italy	14	2.63905733	0.3804148549	BGR	ITA
297	Canada	Italy	16	2.772588722	0.399663139	CAN	ITA
298	China	Italy	10	2.302585093	0.3319130525	CHN	ITA
299	Croatia	Italy	10	2.302585093	0.3319130525	HRV	ITA
300	Cuba	Italy	8	2.079441542	0.2997473543	CUB	ITA
301	Cyprus	Italy	2	0.6931471806	0.09991578476	CYP	ITA
302	Czechia	Italy	38	3.63758616	0.5243507959	CZE	ITA
303	Denmark	Italy	42	3.737669618	0.538777627	DNK	ITA
304	Dominican Republic	Italy	6	1.791759469	0.2582785568	DOM	ITA
305	Egypt	Italy	11	2.397895273	0.345651825	EGY	ITA
306	Estonia	Italy	2	0.6931471806	0.09991578476	EST	ITA
307	Ethiopia	Italy	2	0.6931471806	0.09991578476	ETH	ITA
308	Finland	Italy	10	2.302585093	0.3319130525	FIN	ITA
309	France	Italy	297	5.693732139	0.8207401412	FRA	ITA
310	Georgia	Italy	2	0.6931471806	0.09991578476	GEO	ITA
311	Germany	Italy	442	6.091309882	0.8780501806	DEU	ITA
313	Greece	Italy	49	3.891820298	0.5609981403	GRC	ITA
314	Hong Kong	Italy	4	1.386294361	0.1998315695	HKG	ITA
315	Hungary	Italy	22	3.091042453	0.4455676098	HUN	ITA
316	India	Italy	4	1.386294361	0.1998315695	IND	ITA
317	Iran (Islamic Republic of)	Italy	6	1.791759469	0.2582785568	IRN	ITA
318	Ireland	Italy	32	3.465735903	0.4995789238	IRL	ITA
319	Israel	Italy	18	2.890371758	0.4166413289	ISR	ITA
321	Albania	Slovenia	2	0.6931471806	0.09991578476	ALB	SVN
322	Austria	Slovenia	4	1.386294361	0.1998315695	AUT	SVN
323	Belgium	Slovenia	6	1.791759469	0.2582785568	BEL	SVN
324	Bosnia and Herzegovina	Slovenia	2	0.6931471806	0.09991578476	BIH	SVN
325	Czechia	Slovenia	2	0.6931471806	0.09991578476	CZE	SVN
326	Denmark	Slovenia	4	1.386294361	0.1998315695	DNK	SVN
327	Finland	Slovenia	2	0.6931471806	0.09991578476	FIN	SVN
328	France	Slovenia	4	1.386294361	0.1998315695	FRA	SVN
329	Germany	Slovenia	8	2.079441542	0.2997473543	DEU	SVN
330	North Macedonia	Slovenia	2	0.6931471806	0.09991578476	MKD	SVN
331	Montenegro	Slovenia	4	1.386294361	0.1998315695	MNE	SVN
332	Netherlands	Slovenia	2	0.6931471806	0.09991578476	NLD	SVN
333	Poland	Slovenia	4	1.386294361	0.1998315695	POL	SVN
334	Russian Federation	Slovenia	4	1.386294361	0.1998315695	RUS	SVN
335	Serbia	Slovenia	4	1.386294361	0.1998315695	SRB	SVN
336	Albania	United Kingdom of Great Britain and Northern Ireland	2	0.6931471806	0.09991578476	ALB	GBR
337	Algeria	United Kingdom of Great Britain and Northern Ireland	6	1.791759469	0.2582785568	DZA	GBR
338	Angola	United Kingdom of Great Britain and Northern Ireland	3	1.098612289	0.1583627721	AGO	GBR
339	Antigua and Barbuda	United Kingdom of Great Britain and Northern Ireland	6	1.791759469	0.2582785568	ATG	GBR
340	Argentina	United Kingdom of Great Britain and Northern Ireland	2	0.6931471806	0.09991578476	ARG	GBR
341	Austria	United Kingdom of Great Britain and Northern Ireland	22	3.091042453	0.4455676098	AUT	GBR
342	Azerbaijan	United Kingdom of Great Britain and Northern Ireland	4	1.386294361	0.1998315695	AZE	GBR
343	Bahamas	United Kingdom of Great Britain and Northern Ireland	2	0.6931471806	0.09991578476	BHS	GBR
344	Bahrain	United Kingdom of Great Britain and Northern Ireland	8	2.079441542	0.2997473543	BHR	GBR
345	Bangladesh	United Kingdom of Great Britain and Northern Ireland	3	1.098612289	0.1583627721	BGD	GBR
346	Barbados	United Kingdom of Great Britain and Northern Ireland	9	2.197224577	0.3167255442	BRB	GBR
347	Belarus	United Kingdom of Great Britain and Northern Ireland	2	0.6931471806	0.09991578476	BLR	GBR
348	Belgium	United Kingdom of Great Britain and Northern Ireland	34	3.526360525	0.5083178422	BEL	GBR
349	Bermuda	United Kingdom of Great Britain and Northern Ireland	4	1.386294361	0.1998315695	BMU	GBR
350	Brazil	United Kingdom of Great Britain and Northern Ireland	6	1.791759469	0.2582785568	BRA	GBR
351	Bulgaria	United Kingdom of Great Britain and Northern Ireland	20	2.995732274	0.4318288373	BGR	GBR
352	Canada	United Kingdom of Great Britain and Northern Ireland	83	4.418840608	0.6369670677	CAN	GBR
353	Cabo Verde	United Kingdom of Great Britain and Northern Ireland	18	2.890371758	0.4166413289	CPV	GBR
354	China	United Kingdom of Great Britain and Northern Ireland	22	3.091042453	0.4455676098	CHN	GBR
355	Croatia	United Kingdom of Great Britain and Northern Ireland	70	4.248495242	0.6124121227	HRV	GBR
356	Cuba	United Kingdom of Great Britain and Northern Ireland	4	1.386294361	0.1998315695	CUB	GBR
357	Cyprus	United Kingdom of Great Britain and Northern Ireland	105	4.65396035	0.67085911	CYP	GBR
358	Czechia	United Kingdom of Great Britain and Northern Ireland	32	3.465735903	0.4995789238	CZE	GBR
359	Denmark	United Kingdom of Great Britain and Northern Ireland	44	3.784189634	0.5454833945	DNK	GBR
360	Dominican Republic	United Kingdom of Great Britain and Northern Ireland	4	1.386294361	0.1998315695	DOM	GBR
361	Egypt	United Kingdom of Great Britain and Northern Ireland	67	4.204692619	0.6060980619	EGY	GBR
362	Estonia	United Kingdom of Great Britain and Northern Ireland	6	1.791759469	0.2582785568	EST	GBR
363	Ethiopia	United Kingdom of Great Britain and Northern Ireland	2	0.6931471806	0.09991578476	ETH	GBR
364	Finland	United Kingdom of Great Britain and Northern Ireland	18	2.890371758	0.4166413289	FIN	GBR
365	France	United Kingdom of Great Britain and Northern Ireland	315	5.752572639	0.8292218821	FRA	GBR
366	Germany	United Kingdom of Great Britain and Northern Ireland	206	5.327876169	0.7680027322	DEU	GBR
367	Ghana	United Kingdom of Great Britain and Northern Ireland	4	1.386294361	0.1998315695	GHA	GBR
368	Gibraltar	United Kingdom of Great Britain and Northern Ireland	12	2.48490665	0.3581943416	GIB	GBR
369	Greece	United Kingdom of Great Britain and Northern Ireland	200	5.298317367	0.7637418898	GRC	GBR
370	Guernsey	United Kingdom of Great Britain and Northern Ireland	22	3.091042453	0.4455676098	GGY	GBR
371	Hong Kong	United Kingdom of Great Britain and Northern Ireland	6	1.791759469	0.2582785568	HKG	GBR
372	Hungary	United Kingdom of Great Britain and Northern Ireland	30	3.401197382	0.4902758246	HUN	GBR
373	Iceland	United Kingdom of Great Britain and Northern Ireland	20	2.995732274	0.4318288373	ISL	GBR
