,src,trg,iso_code_src,region,days_since_100_cases_in_China_2019,weeks_since_100_cases,iso_code_trg,kmdist,proximity,log-prox,Norm_prox,norm_log_prox
164,China,Lao People's Democratic Republic,CHN,Asia,1.0,0,LAO,2780.0,0.00035971223021582735,0.12610012576432889,0.005794447980565142,0.005794447980565142
165,China,Macao,CHN,Asia,1.0,0,MAC,1990.0,0.0005025125628140704,0.13165014380571155,0.008654481430770349,0.008654481430770349
166,China,Mongolia,CHN,Asia,1.0,0,MNG,1166.0,0.0008576329331046312,0.14161629347082347,0.015766902805430083,0.015766902805430083
167,China,Myanmar,CHN,Asia,1.0,0,MMR,3222.0,0.00031036623215394165,0.12379673345103236,0.004806136521320748,0.004806136521320748
168,China,Nepal,CHN,Asia,1.0,0,NPL,3159.0,0.00031655587211142766,0.12410010667899093,0.004930103860899301,0.004930103860899301
169,China,Pakistan,CHN,Asia,1.0,0,PAK,3910.0,0.0002557544757033248,0.12090008683706638,0.0037123614062259127,0.0037123614062259127
170,China,Pakistan,CHN,Asia,1.0,0,PAK,3910.0,0.0002557544757033248,0.12090008683706638,0.0037123614062259127,0.0037123614062259127
171,China,Russian Federation,CHN,Asia,1.0,0,RUS,5869.0,0.0001703867779860283,0.11524136760918957,0.0020026001851131923,0.0020026001851131923
172,China,Tajikistan,CHN,Asia,1.0,0,TJK,4080.0,0.00024509803921568627,0.12028118468274716,0.0034989321777353873,0.0034989321777353873
173,China,Viet Nam,CHN,Asia,1.0,0,VNM,3290.0,0.00030395136778115504,0.12347747879394032,0.004677658342377591,0.004677658342377591
174,Christmas Island,Cocos (Keeling) Islands,CXR,Oceania,999.0,142,CCK,984.0,0.0010162601626016261,0.14510363953849104,0.01894392049313514,0.01894392049313514
175,Christmas Island,Indonesia,CXR,Oceania,999.0,142,IDN,491.0,0.002036659877800407,0.1613828801448302,0.03938068884618228,0.03938068884618228
176,Cocos (Keeling) Islands,Indonesia,CCK,Oceania,999.0,142,IDN,500.0,0.002,0.1609111924940025,0.038646457525555164,0.038646457525555164
177,Colombia,Brazil,COL,Americas,61.0,8,BRA,3651.0,0.0002738975623116954,0.12191024010372484,0.004075734751692116,0.004075734751692116
178,Colombia,Ecuador,COL,Americas,61.0,8,ECU,705.0,0.0014184397163120568,0.15248091473715275,0.026998852548766678,0.026998852548766678
179,Colombia,Panama,COL,Americas,61.0,8,PAN,760.0,0.0013157894736842105,0.1507541074739977,0.02494295308238873,0.02494295308238873
180,Colombia,Panama,COL,Americas,61.0,8,PAN,760.0,0.0013157894736842105,0.1507541074739977,0.02494295308238873,0.02494295308238873
181,Colombia,Peru,COL,Americas,61.0,8,PER,1880.0,0.0005319148936170213,0.13264311065543757,0.009243357157320813,0.009243357157320813
182,Colombia,Venezuela (Bolivarian Republic of),COL,Americas,61.0,8,VEN,991.0,0.0010090817356205853,0.1449545411719404,0.018800149530476436,0.018800149530476436
183,Comoros,Mayotte,COM,Africa,134.0,19,MYT,750.0,0.0013333333333333333,0.1510557313797606,0.02529432499118787,0.02529432499118787
184,Comoros,Mozambique,COM,Africa,134.0,19,MOZ,2019.0,0.0004952947003467063,0.13139986977664433,0.008509920646351726,0.008509920646351726
185,Congo,Angola,COG,Africa,89.0,12,AGO,510.0,0.00196078431372549,0.16040008334304492,0.03786103796471003,0.03786103796471003
186,Congo,Cameroon,COG,Africa,89.0,12,CMR,898.0,0.0011135857461024498,0.14705514567368316,0.020893176627966584,0.020893176627966584
