	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
237	South Africa	Turkey	1	0	0	ZAF	TUR
238	Korea, Republic of	Turkey	3	1.098612289	0.1757786625	KOR	TUR
239	Spain	Turkey	7	1.945910149	0.3113468572	ESP	TUR
240	Sudan	Turkey	1	0	0	SDN	TUR
241	Sweden	Turkey	6	1.791759469	0.2866826507	SWE	TUR
242	Switzerland	Turkey	11	2.397895273	0.3836647634	CHE	TUR
243	Tajikistan	Turkey	3	1.098612289	0.1757786625	TJK	TUR
244	Tanzania, United Republic of	Turkey	1	0	0	TZA	TUR
245	Thailand	Turkey	2	0.6931471806	0.1109039882	THA	TUR
246	Tunisia	Turkey	2	0.6931471806	0.1109039882	TUN	TUR
247	Turkmenistan	Turkey	2	0.6931471806	0.1109039882	TKM	TUR
248	Uganda	Turkey	1	0	0	UGA	TUR
249	Ukraine	Turkey	20	2.995732274	0.4793190625	UKR	TUR
250	United Arab Emirates	Turkey	8	2.079441542	0.3327119646	ARE	TUR
251	United Kingdom of Great Britain and Northern Ireland	Turkey	91	4.510859507	0.72174038	GBR	TUR
252	United States of America	Turkey	10	2.302585093	0.3684150743	USA	TUR
253	Uzbekistan	Turkey	2	0.6931471806	0.1109039882	UZB	TUR
254	Yemen	Turkey	1	0	0	YEM	TUR
255	Afghanistan	United Arab Emirates	7	1.945910149	0.3113468572	AFG	ARE
256	Algeria	United Arab Emirates	2	0.6931471806	0.1109039882	DZA	ARE
257	Angola	United Arab Emirates	2	0.6931471806	0.1109039882	AGO	ARE
258	Armenia	United Arab Emirates	2	0.6931471806	0.1109039882	ARM	ARE
259	Australia	United Arab Emirates	16	2.772588722	0.4436159528	AUS	ARE
260	Austria	United Arab Emirates	2	0.6931471806	0.1109039882	AUT	ARE
261	Azerbaijan	United Arab Emirates	2	0.6931471806	0.1109039882	AZE	ARE
262	Bahrain	United Arab Emirates	16	2.772588722	0.4436159528	BHR	ARE
263	Bangladesh	United Arab Emirates	9	2.197224577	0.351557325	BGD	ARE
264	Belarus	United Arab Emirates	2	0.6931471806	0.1109039882	BLR	ARE
265	Belgium	United Arab Emirates	3	1.098612289	0.1757786625	BEL	ARE
266	Brazil	United Arab Emirates	3	1.098612289	0.1757786625	BRA	ARE
267	Brunei	United Arab Emirates	1	0	0	BRN	ARE
268	Bulgaria	United Arab Emirates	1	0	0	BGR	ARE
269	Canada	United Arab Emirates	3	1.098612289	0.1757786625	CAN	ARE
270	China	United Arab Emirates	14	2.63905733	0.4222508454	CHN	ARE
271	Cyprus	United Arab Emirates	3	1.098612289	0.1757786625	CYP	ARE
272	Czechia	United Arab Emirates	2	0.6931471806	0.1109039882	CZE	ARE
273	Denmark	United Arab Emirates	2	0.6931471806	0.1109039882	DNK	ARE
274	Djibouti	United Arab Emirates	4	1.386294361	0.2218079764	DJI	ARE
275	Egypt	United Arab Emirates	11	2.397895273	0.3836647634	EGY	ARE
276	Ethiopia	United Arab Emirates	3	1.098612289	0.1757786625	ETH	ARE
277	France	United Arab Emirates	7	1.945910149	0.3113468572	FRA	ARE
278	Georgia	United Arab Emirates	1	0	0	GEO	ARE
279	Germany	United Arab Emirates	23	3.135494216	0.5016810618	DEU	ARE
280	Ghana	United Arab Emirates	1	0	0	GHA	ARE
281	Greece	United Arab Emirates	3	1.098612289	0.1757786625	GRC	ARE
282	Hong Kong	United Arab Emirates	5	1.609437912	0.2575110861	HKG	ARE
283	Hungary	United Arab Emirates	1	0	0	HUN	ARE
284	India	United Arab Emirates	81	4.394449155	0.70311465	IND	ARE
285	Indonesia	United Arab Emirates	5	1.609437912	0.2575110861	IDN	ARE
286	Iran (Islamic Republic of)	United Arab Emirates	22	3.091042453	0.4945687516	IRN	ARE
287	Iraq	United Arab Emirates	15	2.708050201	0.4332897485	IRQ	ARE
288	Ireland	United Arab Emirates	4	1.386294361	0.2218079764	IRL	ARE
289	Italy	United Arab Emirates	8	2.079441542	0.3327119646	ITA	ARE
290	Japan	United Arab Emirates	8	2.079441542	0.3327119646	JPN	ARE
291	Jordan	United Arab Emirates	9	2.197224577	0.351557325	JOR	ARE
292	Kazakhstan	United Arab Emirates	7	1.945910149	0.3113468572	KAZ	ARE
293	Kenya	United Arab Emirates	9	2.197224577	0.351557325	KEN	ARE
294	Kuwait	United Arab Emirates	11	2.397895273	0.3836647634	KWT	ARE
295	Kyrgyzstan	United Arab Emirates	1	0	0	KGZ	ARE
296	Lebanon	United Arab Emirates	6	1.791759469	0.2866826507	LBN	ARE
297	Libya	United Arab Emirates	1	0	0	LBY	ARE
298	North Macedonia	United Arab Emirates	1	0	0	MKD	ARE
299	Malaysia	United Arab Emirates	7	1.945910149	0.3113468572	MYS	ARE
300	Maldives	United Arab Emirates	4	1.386294361	0.2218079764	MDV	ARE
301	Mauritius	United Arab Emirates	2	0.6931471806	0.1109039882	MUS	ARE
302	Moldova, Republic of	United Arab Emirates	1	0	0	MDA	ARE
303	Morocco	United Arab Emirates	4	1.386294361	0.2218079764	MAR	ARE
304	Nepal	United Arab Emirates	4	1.386294361	0.2218079764	NPL	ARE
305	Netherlands	United Arab Emirates	10	2.302585093	0.3684150743	NLD	ARE
306	Nigeria	United Arab Emirates	2	0.6931471806	0.1109039882	NGA	ARE
307	Oman	United Arab Emirates	20	2.995732274	0.4793190625	OMN	ARE
308	Pakistan	United Arab Emirates	51	3.931825633	0.6290945932	PAK	ARE
309	Philippines	United Arab Emirates	7	1.945910149	0.3113468572	PHL	ARE
310	Poland	United Arab Emirates	2	0.6931471806	0.1109039882	POL	ARE
311	Portugal	United Arab Emirates	2	0.6931471806	0.1109039882	PRT	ARE
312	Qatar	United Arab Emirates	11	2.397895273	0.3836647634	QAT	ARE
313	Romania	United Arab Emirates	3	1.098612289	0.1757786625	ROU	ARE
314	Russian Federation	United Arab Emirates	35	3.555348061	0.5688579432	RUS	ARE
315	Rwanda	United Arab Emirates	1	0	0	RWA	ARE
316	Saudi Arabia	United Arab Emirates	46	3.828641396	0.61258505	SAU	ARE
317	Senegal	United Arab Emirates	1	0	0	SEN	ARE
318	Serbia	United Arab Emirates	3	1.098612289	0.1757786625	SRB	ARE
319	Seychelles	United Arab Emirates	4	1.386294361	0.2218079764	SYC	ARE
320	Singapore	United Arab Emirates	11	2.397895273	0.3836647634	SGP	ARE
321	Somalia	United Arab Emirates	2	0.6931471806	0.1109039882	SOM	ARE
322	South Africa	United Arab Emirates	10	2.302585093	0.3684150743	ZAF	ARE
323	Korea, Republic of	United Arab Emirates	5	1.609437912	0.2575110861	KOR	ARE
324	South Sudan	United Arab Emirates	1	0	0	SSD	ARE
325	Spain	United Arab Emirates	2	0.6931471806	0.1109039882	ESP	ARE
326	Sri Lanka	United Arab Emirates	12	2.48490665	0.3975866389	LKA	ARE
327	Sudan	United Arab Emirates	10	2.302585093	0.3684150743	SDN	ARE
328	Sweden	United Arab Emirates	2	0.6931471806	0.1109039882	SWE	ARE
329	Switzerland	United Arab Emirates	7	1.945910149	0.3113468572	CHE	ARE
330	Taiwan	United Arab Emirates	1	0	0	TWN	ARE
331	Tajikistan	United Arab Emirates	3	1.098612289	0.1757786625	TJK	ARE
332	Tanzania, United Republic of	United Arab Emirates	1	0	0	TZA	ARE
333	Thailand	United Arab Emirates	9	2.197224577	0.351557325	THA	ARE
334	Tunisia	United Arab Emirates	2	0.6931471806	0.1109039882	TUN	ARE
335	Turkey	United Arab Emirates	8	2.079441542	0.3327119646	TUR	ARE
336	Turkmenistan	United Arab Emirates	2	0.6931471806	0.1109039882	TKM	ARE
337	Uganda	United Arab Emirates	1	0	0	UGA	ARE
338	Ukraine	United Arab Emirates	10	2.302585093	0.3684150743	UKR	ARE
339	United Kingdom of Great Britain and Northern Ireland	United Arab Emirates	21	3.044522438	0.4871255197	GBR	ARE
340	United States of America	United Arab Emirates	24	3.17805383	0.5084906271	USA	ARE
341	Uzbekistan	United Arab Emirates	2	0.6931471806	0.1109039882	UZB	ARE
