,src,trg,weighted,log-weight,norm-log-weight,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
219,Morocco,Turkey,3,1.0986122886681098,0.17577866248809984,MAR,Africa,TUR,61.0,8
220,Nepal,Turkey,1,0.0,0.0,NPL,Asia,TUR,61.0,8
221,Netherlands,Turkey,24,3.1780538303479458,0.5084906271083115,NLD,Europe,TUR,61.0,8
222,Nigeria,Turkey,1,0.0,0.0,NGA,Africa,TUR,61.0,8
223,Norway,Turkey,7,1.9459101490553132,0.3113468571680022,NOR,Europe,TUR,61.0,8
224,Oman,Turkey,2,0.6931471805599453,0.11090398820673722,OMN,Asia,TUR,61.0,8
225,Pakistan,Turkey,3,1.0986122886681098,0.17577866248809984,PAK,Asia,TUR,61.0,8
226,Poland,Turkey,2,0.6931471805599453,0.11090398820673722,POL,Europe,TUR,61.0,8
227,Portugal,Turkey,2,0.6931471805599453,0.11090398820673722,PRT,Europe,TUR,61.0,8
228,Qatar,Turkey,4,1.3862943611198906,0.22180797641347444,QAT,Asia,TUR,61.0,8
229,Romania,Turkey,4,1.3862943611198906,0.22180797641347444,ROU,Europe,TUR,61.0,8
230,Russian Federation,Turkey,32,3.4657359027997265,0.5545199410336861,RUS,Europe,TUR,61.0,8
231,Rwanda,Turkey,1,0.0,0.0,RWA,Africa,TUR,61.0,8
232,Saudi Arabia,Turkey,20,2.995732273553991,0.4793190624657543,SAU,Asia,TUR,61.0,8
233,Senegal,Turkey,1,0.0,0.0,SEN,Africa,TUR,61.0,8
234,Serbia,Turkey,6,1.791759469228055,0.28668265069483706,SRB,Europe,TUR,61.0,8
235,Singapore,Turkey,3,1.0986122886681098,0.17577866248809984,SGP,Asia,TUR,61.0,8
236,Slovenia,Turkey,2,0.6931471805599453,0.11090398820673722,SVN,Europe,TUR,61.0,8
237,South Africa,Turkey,1,0.0,0.0,ZAF,Africa,TUR,61.0,8
238,"Korea, Republic of",Turkey,3,1.0986122886681098,0.17577866248809984,KOR,Asia,TUR,61.0,8
239,Spain,Turkey,7,1.9459101490553132,0.3113468571680022,ESP,Europe,TUR,61.0,8
240,Sudan,Turkey,1,0.0,0.0,SDN,Africa,TUR,61.0,8
241,Sweden,Turkey,6,1.791759469228055,0.28668265069483706,SWE,Europe,TUR,61.0,8
242,Switzerland,Turkey,11,2.3978952727983707,0.3836647634353647,CHE,Europe,TUR,61.0,8
243,Tajikistan,Turkey,3,1.0986122886681098,0.17577866248809984,TJK,Asia,TUR,61.0,8
244,"Tanzania, United Republic of",Turkey,1,0.0,0.0,TZA,Africa,TUR,61.0,8
245,Thailand,Turkey,2,0.6931471805599453,0.11090398820673722,THA,Asia,TUR,61.0,8
246,Tunisia,Turkey,2,0.6931471805599453,0.11090398820673722,TUN,Africa,TUR,61.0,8
247,Turkmenistan,Turkey,2,0.6931471805599453,0.11090398820673722,TKM,Asia,TUR,61.0,8
248,Uganda,Turkey,1,0.0,0.0,UGA,Africa,TUR,61.0,8
249,Ukraine,Turkey,20,2.995732273553991,0.4793190624657543,UKR,Europe,TUR,61.0,8
250,United Arab Emirates,Turkey,8,2.0794415416798357,0.33271196462021163,ARE,Asia,TUR,61.0,8
251,United Kingdom of Great Britain and Northern Ireland,Turkey,91,4.51085950651685,0.7217403800284639,GBR,Europe,TUR,61.0,8
252,United States of America,Turkey,10,2.302585092994046,0.3684150742590171,USA,Americas,TUR,61.0,8
253,Uzbekistan,Turkey,2,0.6931471805599453,0.11090398820673722,UZB,Asia,TUR,61.0,8
254,Yemen,Turkey,1,0.0,0.0,YEM,Asia,TUR,61.0,8
255,Afghanistan,United Arab Emirates,7,1.9459101490553132,0.3113468571680022,AFG,Asia,ARE,60.0,8
256,Algeria,United Arab Emirates,2,0.6931471805599453,0.11090398820673722,DZA,Africa,ARE,60.0,8
257,Angola,United Arab Emirates,2,0.6931471805599453,0.11090398820673722,AGO,Africa,ARE,60.0,8
258,Armenia,United Arab Emirates,2,0.6931471805599453,0.11090398820673722,ARM,Asia,ARE,60.0,8
259,Australia,United Arab Emirates,16,2.772588722239781,0.4436159528269489,AUS,Oceania,ARE,60.0,8
260,Austria,United Arab Emirates,2,0.6931471805599453,0.11090398820673722,AUT,Europe,ARE,60.0,8
261,Azerbaijan,United Arab Emirates,2,0.6931471805599453,0.11090398820673722,AZE,Asia,ARE,60.0,8
262,Bahrain,United Arab Emirates,16,2.772588722239781,0.4436159528269489,BHR,Asia,ARE,60.0,8
263,Bangladesh,United Arab Emirates,9,2.1972245773362196,0.3515573249761997,BGD,Asia,ARE,60.0,8
264,Belarus,United Arab Emirates,2,0.6931471805599453,0.11090398820673722,BLR,Europe,ARE,60.0,8
265,Belgium,United Arab Emirates,3,1.0986122886681098,0.17577866248809984,BEL,Europe,ARE,60.0,8
266,Brazil,United Arab Emirates,3,1.0986122886681098,0.17577866248809984,BRA,Americas,ARE,60.0,8
267,Brunei,United Arab Emirates,1,0.0,0.0,BRN,Asia,ARE,60.0,8
268,Bulgaria,United Arab Emirates,1,0.0,0.0,BGR,Europe,ARE,60.0,8
269,Canada,United Arab Emirates,3,1.0986122886681098,0.17577866248809984,CAN,Americas,ARE,60.0,8
270,China,United Arab Emirates,14,2.6390573296152584,0.4222508453747394,CHN,Asia,ARE,60.0,8
271,Cyprus,United Arab Emirates,3,1.0986122886681098,0.17577866248809984,CYP,Asia,ARE,60.0,8
272,Czechia,United Arab Emirates,2,0.6931471805599453,0.11090398820673722,CZE,Europe,ARE,60.0,8
