,src,iso-alpha-3,region,trg,weights
1386,Belgium,BEL,Europe,Estonia,1
1387,Belgium,BEL,Europe,Finland,1
1388,Belgium,BEL,Europe,France,1
1389,Belgium,BEL,Europe,Germany,1
1390,Belgium,BEL,Europe,Greece,1
1391,Belgium,BEL,Europe,Hungary,1
1392,Belgium,BEL,Europe,Iceland,1
1393,Belgium,BEL,Europe,India,1
1394,Belgium,BEL,Europe,Ireland,1
1395,Belgium,BEL,Europe,Israel,1
1396,Belgium,BEL,Europe,Italy,1
1397,Belgium,BEL,Europe,Latvia,1
1398,Belgium,BEL,Europe,Lebanon,1
1399,Belgium,BEL,Europe,Lithuania,1
1400,Belgium,BEL,Europe,North Macedonia,1
1401,Belgium,BEL,Europe,Malta,1
1402,Belgium,BEL,Europe,Montenegro,1
1403,Belgium,BEL,Europe,Morocco,1
1404,Belgium,BEL,Europe,Netherlands,1
1405,Belgium,BEL,Europe,Norway,1
1406,Belgium,BEL,Europe,Poland,1
1407,Belgium,BEL,Europe,Portugal,1
1408,Belgium,BEL,Europe,Qatar,1
1409,Belgium,BEL,Europe,Romania,1
1410,Belgium,BEL,Europe,Russian Federation,1
1411,Belgium,BEL,Europe,Rwanda,1
1412,Belgium,BEL,Europe,Senegal,1
1413,Belgium,BEL,Europe,Serbia,1
1414,Belgium,BEL,Europe,Sierra Leone,1
1415,Belgium,BEL,Europe,Slovakia,1
1416,Belgium,BEL,Europe,Slovenia,1
1417,Belgium,BEL,Europe,Spain,1
1418,Belgium,BEL,Europe,Sweden,1
1419,Belgium,BEL,Europe,Switzerland,1
1420,Belgium,BEL,Europe,Thailand,1
1421,Belgium,BEL,Europe,Tunisia,1
1422,Belgium,BEL,Europe,Turkey,1
1423,Belgium,BEL,Europe,Ukraine,1
1424,Belgium,BEL,Europe,United Arab Emirates,1
1425,Belgium,BEL,Europe,United Kingdom of Great Britain and Northern Ireland,1
1426,Belgium,BEL,Europe,United States of America,1
1601,Belize,BLZ,Americas,El Salvador,1
1602,Belize,BLZ,Americas,Guatemala,1
1603,Belize,BLZ,Americas,Honduras,1
1604,Belize,BLZ,Americas,Mexico,1
1605,Belize,BLZ,Americas,United States of America,1
1611,Benin,BEN,Africa,Burkina Faso,1
1612,Benin,BEN,Africa,Cameroon,1
1613,Benin,BEN,Africa,Congo,1
1614,Benin,BEN,Africa,Côte d'Ivoire,1
1615,Benin,BEN,Africa,Equatorial Guinea,1
1616,Benin,BEN,Africa,Ethiopia,1
1617,Benin,BEN,Africa,France,1
1618,Benin,BEN,Africa,Gabon,1
1619,Benin,BEN,Africa,Ghana,1
1620,Benin,BEN,Africa,Kenya,1
1621,Benin,BEN,Africa,Mali,1
1622,Benin,BEN,Africa,Niger,1
1623,Benin,BEN,Africa,Nigeria,1
1624,Benin,BEN,Africa,Senegal,1
1625,Benin,BEN,Africa,Togo,1
1671,Bermuda,BMU,Americas,Canada,1
1672,Bermuda,BMU,Americas,United Kingdom of Great Britain and Northern Ireland,1
1673,Bermuda,BMU,Americas,United States of America,1
1674,Bhutan,BTN,Asia,Bangladesh,1
1675,Bhutan,BTN,Asia,India,1
1676,Bhutan,BTN,Asia,Nepal,1
1680,Bolivia,BOL,Americas,Argentina,1
1681,Bolivia,BOL,Americas,Brazil,1
1682,Bolivia,BOL,Americas,Chile,1
1683,Bolivia,BOL,Americas,Colombia,1
1684,Bolivia,BOL,Americas,Panama,1
1685,Bolivia,BOL,Americas,Paraguay,1
1686,Bolivia,BOL,Americas,Peru,1
1687,Bolivia,BOL,Americas,Spain,1
1688,Bolivia,BOL,Americas,United States of America,1
1725,Bosnia and Herzegovina,BIH,Europe,Austria,1
1726,Bosnia and Herzegovina,BIH,Europe,Croatia,1
1727,Bosnia and Herzegovina,BIH,Europe,Denmark,1
1728,Bosnia and Herzegovina,BIH,Europe,Germany,1
1729,Bosnia and Herzegovina,BIH,Europe,Italy,1
1730,Bosnia and Herzegovina,BIH,Europe,Serbia,1
1731,Bosnia and Herzegovina,BIH,Europe,Slovenia,1
1732,Bosnia and Herzegovina,BIH,Europe,Sweden,1
1733,Bosnia and Herzegovina,BIH,Europe,Switzerland,1
1734,Bosnia and Herzegovina,BIH,Europe,Turkey,1
1755,Botswana,BWA,Africa,Kenya,1
1756,Botswana,BWA,Africa,Namibia,1
1757,Botswana,BWA,Africa,South Africa,1
1758,Botswana,BWA,Africa,Zambia,1
1759,Botswana,BWA,Africa,Zimbabwe,1
1775,Brazil,BRA,Americas,Angola,1
1776,Brazil,BRA,Americas,Argentina,1
1777,Brazil,BRA,Americas,Barbados,1
1778,Brazil,BRA,Americas,Bolivia,1
1779,Brazil,BRA,Americas,Canada,1
1780,Brazil,BRA,Americas,Cabo Verde,1
1781,Brazil,BRA,Americas,Chile,1
1782,Brazil,BRA,Americas,Colombia,1
1783,Brazil,BRA,Americas,Dominican Republic,1
1784,Brazil,BRA,Americas,Ecuador,1
1785,Brazil,BRA,Americas,France,1
1786,Brazil,BRA,Americas,French Guiana,1
1787,Brazil,BRA,Americas,Germany,1
1788,Brazil,BRA,Americas,Italy,1
1789,Brazil,BRA,Americas,Mexico,1
1790,Brazil,BRA,Americas,Morocco,1
1791,Brazil,BRA,Americas,Netherlands,1
1792,Brazil,BRA,Americas,Panama,1
1793,Brazil,BRA,Americas,Paraguay,1
1794,Brazil,BRA,Americas,Peru,1
1795,Brazil,BRA,Americas,Portugal,1
1796,Brazil,BRA,Americas,Qatar,1
1797,Brazil,BRA,Americas,South Africa,1
1798,Brazil,BRA,Americas,Spain,1
1799,Brazil,BRA,Americas,Suriname,1
1800,Brazil,BRA,Americas,Switzerland,1
1801,Brazil,BRA,Americas,Togo,1
1802,Brazil,BRA,Americas,Turkey,1
1803,Brazil,BRA,Americas,United Arab Emirates,1
1804,Brazil,BRA,Americas,United Kingdom of Great Britain and Northern Ireland,1
1805,Brazil,BRA,Americas,United States of America,1
1806,Brazil,BRA,Americas,Uruguay,1
1807,Brazil,BRA,Americas,Venezuela (Bolivarian Republic of),1
2105,Brunei,BRN,Asia,Australia,1
2106,Brunei,BRN,Asia,China,1
2107,Brunei,BRN,Asia,Hong Kong,1
2108,Brunei,BRN,Asia,Indonesia,1
2109,Brunei,BRN,Asia,Malaysia,1
2110,Brunei,BRN,Asia,Philippines,1
2111,Brunei,BRN,Asia,Saudi Arabia,1
2112,Brunei,BRN,Asia,Singapore,1
2113,Brunei,BRN,Asia,Thailand,1
2114,Brunei,BRN,Asia,United Arab Emirates,1
2115,Bulgaria,BGR,Europe,Austria,1
2116,Bulgaria,BGR,Europe,Belgium,1
2117,Bulgaria,BGR,Europe,Cyprus,1
2118,Bulgaria,BGR,Europe,Czechia,1
2119,Bulgaria,BGR,Europe,Denmark,1
2120,Bulgaria,BGR,Europe,Finland,1
2121,Bulgaria,BGR,Europe,France,1
2122,Bulgaria,BGR,Europe,Germany,1
2123,Bulgaria,BGR,Europe,Greece,1
2124,Bulgaria,BGR,Europe,Ireland,1
2125,Bulgaria,BGR,Europe,Israel,1
2126,Bulgaria,BGR,Europe,Italy,1
2127,Bulgaria,BGR,Europe,Luxembourg,1
2128,Bulgaria,BGR,Europe,Netherlands,1
2129,Bulgaria,BGR,Europe,Norway,1
2130,Bulgaria,BGR,Europe,Poland,1
2131,Bulgaria,BGR,Europe,Romania,1
2132,Bulgaria,BGR,Europe,Russian Federation,1
2133,Bulgaria,BGR,Europe,Serbia,1
2134,Bulgaria,BGR,Europe,Spain,1
2135,Bulgaria,BGR,Europe,Switzerland,1
