,src,trg,nij,score,region,weeks_since_100_cases
235,Somalia,Kenya,0.28668265069483706,0.9698846312338466,Africa,13
236,"Tanzania, United Republic of",Kenya,0.4436159528269489,0.9598361093836504,Africa,13
237,Cambodia,Lao People's Democratic Republic,0.25751108605227985,0.968835048032658,Asia,10
238,Thailand,Lao People's Democratic Republic,0.3684150742590171,0.9051200103814329,Asia,8
239,Viet Nam,Lao People's Democratic Republic,0.28668265069483706,0.9403118124902778,Asia,9
240,Cameroon,Central African Republic,0.11090398820673722,0.9937885361452654,Africa,10
241,Cameroon,Chad,0.17577866248809984,0.9898893505902479,Africa,10
242,Nigeria,Chad,0.11090398820673722,0.9831825869701881,Africa,10
243,Venezuela (Bolivarian Republic of),Aruba,0.3836647634353647,0.9778169716702069,Americas,9
244,Turks and Caicos Islands,Bahamas,0.17577866248809984,0.9812942131068065,Americas,142
245,United States of America,Bahamas,0.6842692895964113,0.8680146575688942,Americas,6
246,United States of America,Bermuda,0.3836647634353647,0.8797559526651243,Americas,6
247,Honduras,Cayman Islands,0.11090398820673722,0.9722528710613902,Americas,10
248,Jamaica,Cayman Islands,0.11090398820673722,0.972941679562802,Americas,12
249,United States of America,Cayman Islands,0.4533159307415043,0.8686629127077912,Americas,6
250,Honduras,Costa Rica,0.25751108605227985,0.9707076290991976,Americas,10
251,Nicaragua,Costa Rica,0.22180797641347444,0.9844235738473142,Americas,18
252,Panama,Costa Rica,0.3113468571680022,0.9438529493461258,Americas,8
253,Saint Lucia,Grenada,0.17577866248809984,0.9859026227554334,Americas,142
254,Trinidad and Tobago,Grenada,0.17577866248809984,0.9849398944700513,Americas,11
255,Canada,Guyana,0.11090398820673722,0.945284211277795,Americas,7
256,Greenland,Iceland,0.11090398820673722,0.9948810248430568,Americas,142
257,Canada,Saint Pierre and Miquelon,0.17577866248809984,0.9722626884188484,Americas,7
258,East Timor,Australia,0.11090398820673722,0.9805414481569947,Asia,142
259,Fiji,Australia,0.3836647634353647,0.9212284976365511,Oceania,142
260,New Caledonia,Australia,0.22180797641347444,0.9520533496782254,Oceania,142
261,New Zealand,Australia,0.6654239292404233,0.9211138398613422,Oceania,9
262,Norfolk Island,Australia,0.11090398820673722,0.9805414481569947,Oceania,142
263,Papua New Guinea,Australia,0.3515573249761997,0.9744812816916432,Oceania,142
264,Vanuatu,Australia,0.3113468571680022,0.949563238611525,Oceania,142
265,Colombia,Ecuador,0.3836647634353647,0.9582928298959617,Americas,8
266,Peru,Ecuador,0.28668265069483706,0.9519512568229455,Americas,8
267,Nepal,Bangladesh,0.22180797641347444,0.9504498039961429,Asia,15
268,Thailand,Myanmar,0.3975866389015743,0.8988005544692815,Asia,8
269,Lao People's Democratic Republic,Cambodia,0.25751108605227985,0.9688779113643061,Asia,142
270,Viet Nam,Cambodia,0.4222508453747394,0.9195667078301647,Asia,9
271,Russian Federation,Kyrgyzstan,0.6226937143360044,0.8849611127172311,Europe,8
272,Sri Lanka,Maldives,0.3836647634353647,0.9657800495203929,Asia,9
273,Madagascar,Mauritius,0.11090398820673722,0.9559534032146427,Africa,12
274,Réunion,Mauritius,0.3113468571680022,0.9882280188404615,Africa,142
275,China,Korea (Democratic People's Republic of),0.17577866248809984,0.9550634470680913,Asia,0
276,Guam,Northern Mariana Islands,0.11090398820673722,0.9855755123687423,Oceania,11
277,Russian Federation,Tajikistan,0.6842692895964113,0.8828444543457149,Europe,8
278,Guatemala,El Salvador,0.17577866248809984,0.968383423910796,Americas,11
279,Honduras,El Salvador,0.17577866248809984,0.9627654108793655,Americas,10
280,Nicaragua,El Salvador,0.11090398820673722,0.9730157679526573,Americas,18
281,Comoros,Mayotte,0.11090398820673722,0.9946733345634156,Africa,19
282,Kenya,Mayotte,0.17577866248809984,0.9438786361764149,Africa,10
283,Madagascar,Mayotte,0.25751108605227985,0.9920186997609282,Africa,12
284,"Congo, Democratic Republic of the",Zambia,0.17577866248809984,0.9718807552053954,Africa,10
285,Kenya,Zambia,0.3515573249761997,0.9381822446595671,Africa,10
286,Malawi,Zambia,0.25751108605227985,0.9900430902444081,Africa,18
287,Namibia,Zambia,0.11090398820673722,0.9737778485648321,Africa,23
288,South Africa,Zambia,0.3113468571680022,0.9213186655599057,Africa,8
289,Zimbabwe,Zambia,0.3836647634353647,0.9873296096987485,Africa,18
290,Cook Islands,French Polynesia,0.11090398820673722,0.99332984569614,Oceania,142
291,New Zealand,French Polynesia,0.22180797641347444,0.9768638419296848,Oceania,9
292,Costa Rica,Nicaragua,0.17577866248809984,0.9809104725839011,Americas,9
293,El Salvador,Nicaragua,0.11090398820673722,0.9755767770990185,Americas,11
294,Côte d'Ivoire,Ghana,0.3113468571680022,0.9765117770111907,Africa,10
295,Liberia,Ghana,0.25751108605227985,0.9898348067706866,Africa,13
296,Nigeria,Ghana,0.28668265069483706,0.9678240977490356,Africa,10
297,Senegal,Ghana,0.17577866248809984,0.9437059073471081,Africa,9
298,Sierra Leone,Ghana,0.17577866248809984,0.9810432651726457,Africa,14
299,Togo,Ghana,0.11090398820673722,0.9770009264224965,Africa,14
300,Côte d'Ivoire,Guinea,0.11090398820673722,0.9694030962881918,Africa,10
301,Guinea-Bissau,Guinea,0.11090398820673722,0.9967145797106838,Africa,14
302,Mali,Guinea,0.11090398820673722,0.9835558025048435,Africa,12
303,Senegal,Guinea,0.33271196462021163,0.9858495214043459,Africa,9
304,Czechia,Slovakia,0.22180797641347444,0.9325958870589057,Europe,7
305,Denmark,Faroe Islands,0.11090398820673722,0.9532696653467544,Europe,7
306,Norway,Faroe Islands,0.11090398820673722,0.9563963888223963,Europe,7
307,Djibouti,Somalia,0.25751108605227985,0.9908305288251053,Africa,11
308,Kenya,Somalia,0.3113468571680022,0.9584432104793783,Africa,10
309,Yemen,Somalia,0.11090398820673722,0.9567433971771486,Asia,17
310,Dominica,Virgin Islands (British),0.11090398820673722,0.9827415739022591,Americas,142
311,Puerto Rico,Virgin Islands (British),0.3113468571680022,0.9810734888243275,Americas,10
312,Guadeloupe,Haiti,0.11090398820673722,0.9729310359247366,Americas,142
313,Turks and Caicos Islands,Haiti,0.17577866248809984,0.9855583310367994,Americas,142
314,Ethiopia,South Sudan,0.11090398820673722,0.9629463568579824,Africa,13
315,Sudan,South Sudan,0.11090398820673722,0.9870235746126678,Africa,13
316,Saudi Arabia,Sudan,0.33271196462021163,0.9069935312915219,Asia,8
317,South Sudan,Sudan,0.11090398820673722,0.9851557165158759,Africa,16
318,Ethiopia,Djibouti,0.25751108605227985,0.9746283538344965,Africa,13
319,Somalia,Djibouti,0.22180797641347444,0.9951703739563309,Africa,13
320,Yemen,Djibouti,0.11090398820673722,0.967464606648404,Asia,17
321,Kenya,"Tanzania, United Republic of",0.4533159307415043,0.9586001029606638,Africa,10
322,Rwanda,"Tanzania, United Republic of",0.11090398820673722,0.9595992251276422,Africa,11
323,Uganda,"Tanzania, United Republic of",0.22180797641347444,0.9825203996824031,Africa,15
324,Rwanda,Uganda,0.3836647634353647,0.9902801911781608,Africa,11
325,South Sudan,Uganda,0.11090398820673722,0.9863215463637667,Africa,16
326,"Tanzania, United Republic of",Uganda,0.22180797641347444,0.9841707215637276,Africa,13
327,Fiji,Kiribati,0.17577866248809984,0.9935638318728472,Oceania,142
328,Fiji,Tonga,0.11090398820673722,0.9921131066680241,Oceania,142
329,New Zealand,Tonga,0.11090398820673722,0.9863400321544659,Oceania,9
330,Portugal,Cabo Verde,0.3515573249761997,0.9197084007077425,Europe,8
331,France,French Guiana,0.17577866248809984,0.9019928461172021,Europe,6
332,Martinique,French Guiana,0.11090398820673722,0.9929361522135363,Americas,142
333,Ghana,Liberia,0.25751108605227985,0.9912178231403754,Africa,9
334,Sierra Leone,Liberia,0.33271196462021163,0.9950510346963998,Africa,14
335,Mauritius,Madagascar,0.11090398820673722,0.9574632778216323,Africa,10
336,Mayotte,Madagascar,0.3113468571680022,0.994044023822533,Africa,142
337,Réunion,Madagascar,0.28668265069483706,0.9918678461329729,Africa,142
338,French Guiana,Martinique,0.11090398820673722,0.9931868697749469,Americas,142
339,Guadeloupe,Martinique,0.25751108605227985,0.9863384072841334,Americas,142
340,Saint Lucia,Martinique,0.25751108605227985,0.9849660012327367,Americas,142
341,Madagascar,Réunion,0.3113468571680022,0.9909178118793122,Africa,12
342,Mauritius,Réunion,0.3113468571680022,0.9862290339588939,Africa,10
343,Mayotte,Réunion,0.11090398820673722,0.9850906782197127,Africa,142
344,French Polynesia,Cook Islands,0.11090398820673722,0.9944151833390591,Oceania,142
345,New Zealand,Cook Islands,0.11090398820673722,0.9795797831082339,Oceania,9
346,Italy,Albania,0.5273359874642995,0.9141435315090694,Europe,5
347,Serbia,Bosnia and Herzegovina,0.17577866248809984,0.9612351251455985,Europe,8
348,Jersey,Guernsey,0.17577866248809984,0.9893593976607674,Europe,11
349,United Kingdom of Great Britain and Northern Ireland,Guernsey,0.3836647634353647,0.8778669813247998,Europe,6
350,Guernsey,Jersey,0.22180797641347444,0.9923720636777694,Europe,11
351,Guadeloupe,Dominica,0.17577866248809984,0.9904650703742824,Americas,142
352,Puerto Rico,Dominica,0.22180797641347444,0.9873248273525518,Americas,10
353,Virgin Islands (British),Dominica,0.11090398820673722,0.9856542524661727,Americas,142
354,Guam,Micronesia (Federated States of),0.11090398820673722,0.9943950604881064,Oceania,11
