level_0,index,country_source,country_dest,source_id,dest_id,cnt,airport_id_source,latitude_source,longitude_source,altitude_source,airport_id_dest,latitude_dest,longitude_dest,altitude_dest
1320,1364,France,Moldova,1367.0,1735.0,1,1367,49.45439910888672,2.1127800941467285,359,1735,46.92770004272461,28.93099975585937,399
1321,1365,France,Montenegro,2764.0,3484.0,2,2764,98.025596,5.1,784,3484,84.76410323291016,37.97520093383789,161
1322,1366,France,Morocco,75172.0,81963.0,79,75172,2570.46587021795,185.52185385195816,17547,81963,1812.917782085226,-368.0893667623086,59522
1323,1367,France,Netherlands,23042.0,9919.0,33,23042,764.8325007668253,70.01964052425322,5256,9919,885.2639178352999,81.51136951567997,52
1324,1368,France,Netherlands Antilles,15688.0,12946.0,8,15688,133.54493104365235,-120.75775805361329,781,12946,71.76800155636367,-252.54669570910312,99
1325,1369,France,Niger,1382.0,280.0,3,1382,49.012798,2.55,392,280,13.4815,2.18361,732
1326,1370,France,Nigeria,2764.0,533.0,4,2764,98.025596,5.1,784,533,15.584160327911377,10.584329843521118,1258
1327,1371,France,Norway,15003.0,7157.0,15,15003,504.8073684961648,52.99196880562794,1847,7157,661.3496356876001,103.02833847450002,3783
1328,1372,France,Oman,1382.0,2194.0,1,1382,49.012798,2.55,392,2194,23.593299865722656,58.284400939941406,48
1329,1373,France,Pakistan,2764.0,4430.0,2,2764,98.025596,5.1,784,4430,65.1382997232666,147.50279960009766,2380
1330,1374,France,Panama,1382.0,1871.0,1,1382,49.012798,2.55,392,1871,9.0713596344,-79.3834991455,135
1331,1375,France,Peru,1382.0,2789.0,2,1382,49.012798,2.55,392,2789,-12.0219,-77.114305,113
1332,1376,France,Poland,19212.0,24920.0,15,19212,677.3612602823937,44.518701459513835,5019,24920,721.2207032431351,273.7223978881779,7416
1333,1377,France,Portugal,54362.0,63775.0,53,54362,1699.6367837233258,118.71686219655312,16028,63775,1416.021004678,-347.1551973086002,8753
1334,1378,France,Puerto Rico,6460.0,2890.0,1,6460,17.904399871826172,-62.84360122680664,49,2890,18.4393997192,-66.0018005371,9
1335,1379,France,Qatar,1382.0,11051.0,1,1382,49.012798,2.55,392,11051,25.273056,51.608056,13
1336,1380,France,Reunion,4121.0,2748.0,5,4121,141.175403222,10.15086850278,757,2748,-62.66130065917967,166.53089904785156,198
1337,1381,France,Romania,8204.0,9948.0,7,8204,290.48879592484684,18.216990280146916,1840,9948,272.77613084638676,147.6915997314453,3289
1338,1382,France,Russia,10947.0,24843.0,11,10947,370.1762036899,36.89847821346,1577,24843,455.26179495530846,308.73930247196836,4059
1339,1383,France,Saudi Arabia,2764.0,4154.0,4,2764,98.025596,5.1,784,4154,46.63719963989257,85.85530113330078,2097
1340,1384,France,Senegal,2768.0,2168.0,3,2768,97.7361313,4.9294443999999995,683,2168,29.479400634765625,-34.98040008544922,170
1341,1385,France,Serbia,4172.0,5220.0,4,4172,146.05719710888673,12.191946794146729,1636,5220,132.2096026734,61.653999394799996,2459
1342,1386,France,Singapore,1382.0,3316.0,2,1382,49.012798,2.55,392,3316,1.35019,103.994003,22
1343,1387,France,Slovakia,1367.0,1745.0,1,1367,49.45439910888672,2.1127800941467285,359,1745,48.17020034790039,17.212699890136722,436
1344,1388,France,Slovenia,1382.0,1569.0,2,1382,49.012798,2.55,392,1569,46.223701,14.4576,1273
1345,1389,France,South Africa,1382.0,813.0,2,1382,49.012798,2.55,392,813,-26.1392,28.246,5558
1346,1390,France,South Korea,1382.0,3930.0,3,1382,49.012798,2.55,392,3930,37.46910095214844,126.45099639892578,23
1347,1391,France,Spain,113616.0,121820.0,149,113616,3916.017811912758,233.7841676197957,32458,121820,3133.875310094004,-334.14811261608884,36589
1348,1392,France,Sri Lanka,1382.0,3024.0,1,1382,49.012798,2.55,392,3024,7.180759906768799,79.88410186767578,30
